LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,,,,,T2M,,WS50M
50.8308,-58.9756,2000,3,28,5.2,,,,,-2.83,,3.52
50.8308,-58.9756,2000,3,29,1.21,,,,,-0.14,,8.64
50.8308,-58.9756,2000,3,30,3.1,,,,,0.51,,5.64
50.8308,-58.9756,2000,3,31,3.39,,,,,-0.23,,4.5
50.8308,-58.9756,2000,4,1,1.69,,,,,0.15,,8.22
50.8308,-58.9756,2000,4,2,6.06,,,,,0.14,,8.52
50.8308,-58.9756,2000,4,3,3.96,,,,,0.58,,5.24
50.8308,-58.9756,2000,4,4,3.51,,,,,-0.37,,4.17
50.8308,-58.9756,2000,4,5,0.91,,,,,0.65,,8.02
50.8308,-58.9756,2000,4,6,2.96,,,,,0.8,,10.2
50.8308,-58.9756,2000,4,7,6.16,,,,,-0.21,,5.58
50.8308,-58.9756,2000,4,8,4.46,,,,,0.32,,5.26
50.8308,-58.9756,2000,4,9,2.29,,,,,3.91,,11.57
50.8308,-58.9756,2000,4,10,1.34,,,,,3.26,,10.32
50.8308,-58.9756,2000,4,11,3.91,,,,,-0.3,,8.66
50.8308,-58.9756,2000,4,12,4.54,,,,,-2.09,,5.95
50.8308,-58.9756,2000,4,13,2.21,,,,,-0.12,,8.99
50.8308,-58.9756,2000,4,14,4.03,,,,,-1.47,,9.63
50.8308,-58.9756,2000,4,15,5.41,,,,,-0.13,,8.85
50.8308,-58.9756,2000,4,16,6.99,,,,,-2.35,,5.51
50.8308,-58.9756,2000,4,17,7.24,,,,,-5.12,,9.39
50.8308,-58.9756,2000,4,18,7.36,,,,,-4.3,,7.17
50.8308,-58.9756,2000,4,19,6.55,,,,,-1.78,,2.71
50.8308,-58.9756,2000,4,20,3.86,,,,,0.24,,2.83
50.8308,-58.9756,2000,4,21,5.26,,,,,0.14,,2.46
50.8308,-58.9756,2000,4,22,5.77,,,,,0.33,,4.52
50.8308,-58.9756,2000,4,23,2.64,,,,,0.47,,3.42
50.8308,-58.9756,2000,4,24,1.76,,,,,0.67,,10.17
50.8308,-58.9756,2000,4,25,4.39,,,,,-1.02,,10.25
50.8308,-58.9756,2000,4,26,7.43,,,,,0.21,,5.15
50.8308,-58.9756,2000,4,27,5.96,,,,,1.84,,5.72
50.8308,-58.9756,2000,4,28,3.09,,,,,2.75,,4.2
50.8308,-58.9756,2000,4,29,6.37,,,,,1.55,,6.12
50.8308,-58.9756,2000,4,30,3.05,,,,,0.18,,9.81
50.8308,-58.9756,2000,5,1,3.1,,,,,0.39,,5.39
50.8308,-58.9756,2000,5,2,3.52,,,,,0.79,,4.91
50.8308,-58.9756,2000,5,3,6.25,,,,,0.91,,10.23
50.8308,-58.9756,2000,5,4,6.15,,,,,1.82,,9.94
50.8308,-58.9756,2000,5,5,2.02,,,,,3.18,,10.79
50.8308,-58.9756,2000,5,6,7.82,,,,,1.92,,5.69
50.8308,-58.9756,2000,5,7,6.7,,,,,1.88,,6.9
50.8308,-58.9756,2000,5,8,2.39,,,,,1.61,,8.05
50.8308,-58.9756,2000,5,9,7.85,,,,,1.19,,10.8
50.8308,-58.9756,2000,5,10,8.11,,,,,1.63,,5.5
50.8308,-58.9756,2000,5,11,5.06,,,,,1.77,,3.83
50.8308,-58.9756,2000,5,12,1.91,,,,,0.71,,11.25
50.8308,-58.9756,2000,5,13,6.06,,,,,2.33,,10.06
50.8308,-58.9756,2000,5,14,5.11,,,,,1.79,,4.77
50.8308,-58.9756,2000,5,15,2.97,,,,,3,,3.09
50.8308,-58.9756,2000,5,16,2.11,,,,,3.62,,1.67
50.8308,-58.9756,2000,5,17,5.08,,,,,5.03,,5.02
